class or id,tag_name,start_x,start_y,size_w,size_h,average_color,salient_level
class,top-lanking-inner,85,4741,540.0,396.3333129882813,0,0
class,image-box,85,4751,540.0,200.0,0,0
class,col-md-6,640,4741,570.0,396.3333129882813,0,0
class,top-lanking-inner,655,4741,540.0,344.566650390625,0,0
class,image-box,655,4751,540.0,200.0,0,0
class,col-md-6,70,5137,570.0,374.566650390625,0,0
class,top-lanking-inner,85,5137,540.0,374.566650390625,0,0
class,image-box,85,5147,540.0,200.0,0,0
class,container,70,5611,1140.0,160.0,0,0
class,row,70,5631,1140.0,120.0,0,0
class,col-sm-6 offset-sm-3,355,5631,570.0,120.0,0,0
class_large,d-none d-lg-block,0,5821,1280.0,537.75,0,0
class_large,container,70,5851,1140.0,477.75,0,0
class_large,row,70,5851,1140.0,477.75,0,0
class,col-md-6,70,5851,570.0,477.75,0,0
class,row,70,5851,570.0,448.0,0,0
class,col-sm-10 text-center,70,5851,475.0,448.0,0,0
class,fb-page fb_iframe_widget,85,5899,445.0,400.0,0,0
class,col-sm-2,545,5851,95.0,448.0,0,0
class,col-md-6,640,5851,570.0,477.75,0,0
class,row,640,5851,570.0,477.75,0,0
class,col-sm-2,640,5851,95.0,477.75,0,0
class,col-sm-10 text-center,735,5851,475.0,477.75,0,0
class_large,footer_text,0,6359,1280.0,273.79998779296875,0,0
class,container,70,6389,1140.0,213.8000030517578,0,0
class,row,70,6389,1140.0,213.8000030517578,0,0
class,col-md-4 text-center,70,6389,380.0,213.8000030517578,0,0
class,col-md-5,450,6389,475.0,213.8000030517578,0,0
class,col-md-3 col-sm-6,925,6389,285.0,213.8000030517578,0,0
class,container text-center copyrights,70,6633,1140.0,70.0,0,0
a,link,624,749,47.19999694824219,16.5,39,17.503871916955962
a,link,706,749,64.0,16.5,45,33.081045186264106
a,link,805,749,14.366668701171877,16.5,30,4.33856697280918
a,link,855,749,96.0,16.5,27,19.121275327371933
a,link,986,749,79.20001220703125,16.5,19,13.072156366539682
a,link,1101,749,64.0,16.5,37,24.80107238974868
a,link,-430,73,700.0,390.0,63,53.224551407363144
a,link,290,73,700.0,425.0,56,46.46699221939852
a,link,1010,73,700.0,395.0,67,49.520918307915935
a,link,85,777,540.0,396.3333435058594,38,25.534494075215054
a,link,655,777,540.0,366.3333435058594,34,21.9037486730875
a,link,85,1174,540.0,366.3333129882813,62,33.30665853149981
a,link,655,1174,540.0,396.3333129882813,57,28.732166639527936
a,link,85,1570,540.0,396.3333129882813,0,0
a,link,655,1570,540.0,396.3333129882813,0,0
a,link,85,1966,540.0,396.3333435058594,0,0
a,link,655,1966,540.0,366.3333435058594,0,0
a,link,85,2363,540.0,366.3333129882813,0,0
a,link,655,2363,540.0,426.3333129882813,0,0
a,link,85,2789,540.0,396.3333129882813,0,0
a,link,655,2789,540.0,366.3333129882813,0,0
a,link,85,3185,540.0,396.3333435058594,0,0
a,link,655,3185,540.0,396.3333435058594,0,0
a,link,85,3582,540.0,342.79998779296875,0,0
a,link,655,3582,540.0,366.3333129882813,0,0
a,link,85,3948,540.0,374.566650390625,0,0
a,link,655,3948,540.0,396.3333129882813,0,0
a,link,85,4344,540.0,366.3333435058594,0,0
a,link,655,4344,540.0,396.3333435058594,0,0
a,link,85,4741,540.0,396.3333129882813,0,0
a,link,655,4741,540.0,344.566650390625,0,0
a,link,85,5137,540.0,374.566650390625,0,0
a,link,904,6309,137.4499969482422,16.5,0,0
a,link,474,6455,102.39999389648438,13.5,0,0
a,link,482,6533,99.6999969482422,13.5,0,0
a,link,950,6455,51.19999694824219,13.5,0,0
a,link,950,6494,11.48333740234375,13.5,0,0
